,price
0,1.25875
1,1.25875
2,1.25875
3,1.25875
4,-0.51
5,-0.51
6,-0.51
7,-0.51
8,-1.23875
9,-1.23875
10,-1.23875
11,-1.23875
12,-0.92625
13,-0.92625
14,-0.92625
15,-0.92625
16,-1.56875
17,-1.56875
18,-1.56875
19,-1.56875
20,-2.15625
21,-2.15625
22,-2.15625
23,-2.15625
24,-1.88375
25,-1.88375
26,-1.88375
27,-1.88375
28,-0.61625
29,-0.61625
30,-0.61625
31,-0.61625
32,-0.79125
33,-0.79125
34,-0.79125
35,-0.79125
36,-0.61625
37,-0.61625
38,-0.61625
39,-0.61625
40,0.056249999999999994
41,0.056249999999999994
42,0.056249999999999994
43,0.056249999999999994
44,0.015
45,0.015
46,0.015
47,0.015
48,-0.0025
49,-0.0025
50,-0.0025
51,-0.0025
52,0.0
53,0.0
54,0.0
55,0.0
56,-0.00375
57,-0.00375
58,-0.00375
59,-0.00375
60,0.24625000000000002
61,0.24625000000000002
62,0.24625000000000002
63,0.24625000000000002
64,1.1325
65,1.1325
66,1.1325
67,1.1325
68,0.00875
69,0.00875
70,0.00875
71,0.00875
72,-0.62125
73,-0.62125
74,-0.62125
75,-0.62125
76,-0.8725
77,-0.8725
78,-0.8725
79,-0.8725
80,-3.11625
81,-3.11625
82,-3.11625
83,-3.11625
84,-0.60875
85,-0.60875
86,-0.60875
87,-0.60875
88,-3.61625
89,-3.61625
90,-3.61625
91,-3.61625
92,-4.19625
93,-4.19625
94,-4.19625
95,-4.19625
96,-5.74
97,-5.74
98,-5.74
99,-5.74
100,-6.03625
101,-6.03625
102,-6.03625
103,-6.03625
104,-5.623750000000001
105,-5.623750000000001
106,-5.623750000000001
107,-5.623750000000001
108,-6.11625
109,-6.11625
110,-6.11625
111,-6.11625
112,-3.73875
113,-3.73875
114,-3.73875
115,-3.73875
116,-0.00125
117,-0.00125
118,-0.00125
119,-0.00125
120,4.67875
121,4.67875
122,4.67875
123,4.67875
124,6.0075
125,6.0075
126,6.0075
127,6.0075
128,6.342499999999999
129,6.342499999999999
130,6.342499999999999
131,6.342499999999999
132,5.946249999999999
133,5.946249999999999
134,5.946249999999999
135,5.946249999999999
136,5.4925
137,5.4925
138,5.4925
139,5.4925
140,5.12125
141,5.12125
142,5.12125
143,5.12125
144,5.61875
145,5.61875
146,5.61875
147,5.61875
148,6.205
149,6.205
150,6.205
151,6.205
152,6.70875
153,6.70875
154,6.70875
155,6.70875
156,7.00125
157,7.00125
158,7.00125
159,7.00125
160,7.11875
161,7.11875
