,consumption
0,163
1,71
2,175
3,226
4,130
5,260
6,61
7,60
8,141
9,239
10,267
11,177
12,108
13,277
14,123
15,140
16,46
17,72
18,234
19,110
20,146
21,108
22,85
23,36
24,174
25,39
26,172
27,172
28,135
29,232
30,185
31,98
32,94
33,243
34,150
35,82
36,89
37,256
38,228
39,264
40,76
41,81
42,122
43,237
44,229
45,185
46,132
47,76
48,78
49,101
50,245
51,42
52,254
53,157
54,50
55,131
56,39
57,114
58,68
59,78
60,234
61,165
62,193
63,54
64,212
65,85
66,76
67,193
68,191
69,177
70,271
71,149
72,231
73,257
74,88
75,89
76,222
77,62
78,253
79,162
80,229
81,168
82,39
83,198
84,138
85,91
86,81
87,59
88,109
89,187
90,174
91,146
92,264
93,151
94,116
95,163
96,159
97,154
98,266
99,128
100,98
101,187
102,107
103,170
104,227
105,252
106,239
107,44
108,44
109,177
110,91
111,38
112,77
113,160
114,258
115,131
116,81
117,52
118,51
119,127
120,206
121,197
122,220
123,65
124,139
125,183
126,110
127,253
128,136
129,126
130,131
131,71
132,36
133,66
134,124
135,77
136,121
137,37
138,116
139,37
140,68
141,264
142,122
143,228
144,243
145,110
146,154
147,208
148,173
149,224
150,205
151,136
152,159
153,56
154,114
155,222
156,178
157,157
158,146
159,217
160,273
161,141
162,57
163,153
164,205
165,243
166,190
167,266
168,201
169,263
170,78
171,83
172,178
173,203
174,171
175,125
176,196
177,116
178,162
179,111
180,220
181,81
182,92
183,199
184,70
185,56
186,205
187,274
188,112
189,150
190,250
191,76
192,164
193,241
194,231
195,249
196,133
197,61
198,170
199,126
200,49
201,232
202,69
203,212
204,147
205,142
206,100
207,121
208,114
209,203
210,124
211,80
212,158
213,74
214,126
215,147
216,129
217,62
218,126
219,257
220,270
221,277
222,164
223,138
224,189
225,54
226,268
227,198
228,235
229,112
230,67
231,85
232,163
233,139
234,185
235,37
236,233
237,214
238,181
239,49
240,114
241,56
242,69
243,87
244,271
245,267
246,257
247,227
248,227
249,201
250,94
251,175
252,207
253,184
254,94
255,140
256,245
257,144
258,241
259,261
260,232
261,167
262,261
263,101
264,181
265,243
266,75
267,179
268,224
269,40
270,272
271,231
272,179
273,255
274,84
275,183
276,146
277,232
278,104
279,53
280,279
281,169
282,84
283,232
284,57
285,166
286,80
287,270
288,272
289,143
290,177
291,138
292,184
293,165
294,238
295,107
296,262
297,51
298,164
299,151
300,183
301,108
302,145
303,217
304,191
305,260
306,119
307,259
308,92
309,141
310,179
311,115
312,135
313,245
314,66
315,151
316,126
317,134
318,38
319,195
320,186
321,163
322,55
323,268
324,94
325,223
326,139
327,268
328,182
329,81
330,190
331,115
332,216
333,201
334,162
335,198
336,63
337,167
338,78
339,222
340,83
341,253
342,35
343,174
344,51
345,199
346,94
347,101
348,175
349,203
350,199
351,265
352,60
353,43
354,98
355,204
356,272
357,51
358,161
359,119
360,48
361,156
362,268
363,96
364,161
365,43
366,170
367,142
368,64
369,91
370,140
371,191
372,275
373,241
374,132
375,170
376,236
377,203
378,226
379,211
380,188
381,195
382,188
383,131
384,99
385,125
386,229
387,124
388,255
389,193
390,215
391,204
392,58
393,273
394,140
395,265
396,44
397,219
398,218
399,78
400,167
401,82
402,104
403,235
404,198
405,248
406,53
407,136
408,126
409,57
410,122
411,66
412,202
413,191
414,110
415,119
416,104
417,38
418,246
419,206
420,117
421,66
422,143
423,230
424,205
425,197
426,226
427,158
428,187
429,250
430,201
431,159
432,105
433,229
434,112
435,268
436,36
437,38
438,56
439,258
440,275
441,144
442,140
443,113
444,166
445,120
446,206
447,39
448,239
449,105
450,231
451,83
452,36
